"Lake","Gear","Set","Lat","Lon","Date","Species","Fork_length","Weight","Sex","Mark","Floy","PIT","Recap","cap_label","Fish_notes","event_num","lake_combined","stat","grouping","corrected_length","class","year_cap","year_recap"
"Shallow","ANG",44,63.07147,-145.97221,2023-06-18,"LT","422",907,NA,"Gray Floy 18503; PIT 1312","18503","1312",NA,"n1","Gear = Baited Lure",2,"Shallow_Round","n1","n1",422,NA,NA,NA
"Shallow","ANG",42,63.07119,-145.97316,2023-06-18,"LT","429",680,NA,"Gray Floy 18501; PIT 12FE","18501","12FE",NA,"n1","Gear = Baited Lure",2,"Shallow_Round","n1","n1",429,NA,NA,NA
"Shallow","ANG",30,63.07745,-145.96321,2023-06-18,"LT","430",1134,NA,"Gray Floy 18059; PIT OC25","18059","OC25",NA,"n1","Gear = Baited Lure",2,"Shallow_Round","n1","n1",430,NA,NA,NA
"Shallow","ANG",36,63.07801,-145.95379,2023-06-18,"LT","438",1134,NA,"Gray Floy 18065; PIT OC2O","18065","OC2O",NA,"n1","Gear = Baited Lure",2,"Shallow_Round","n1","n1",438,NA,NA,NA
"Shallow","ANG",9,63.07042,-145.97466,2023-06-17,"LT","450",NA,NA,"Gray Floy 18005","18005",NA,NA,"n1","Gear = Baited Lure",2,"Shallow_Round","n1","n1",450,NA,NA,NA
"Shallow","ANG",11,63.07613,-145.96256,2023-06-17,"LT","455",1134,NA,"Gray Floy 18535; PIT 1301","18535","1301",NA,"n1","Gear = Baited Lure",2,"Shallow_Round","n1","n1",455,NA,NA,NA
"Shallow","ANG",15,63.07138,-145.97249,2023-06-17,"LT","456",1021,NA,"Gray Floy 18539; PIT 133A","18539","133A",NA,"n1","Gear = Baited Lure",2,"Shallow_Round","n1","n1",456,NA,NA,NA
"Shallow","ANG",14,63.07137,-145.97287,2023-06-17,"LT","460",1247,NA,"Gray Floy 18538; PIT 1322","18538","1322",NA,"n1","Gear = Baited Lure",2,"Shallow_Round","n1","n1",460,NA,NA,NA
"Shallow","ANG",31,63.07799,-145.96336,2023-06-18,"LT","461",1179,NA,"Gray Floy 18060; PIT OC22","18060","OC22",NA,"n1","Gear = Baited Lure",2,"Shallow_Round","n1","n1",461,NA,NA,NA
"Shallow","ANG",51,63.0769,-145.9619,2023-06-18,"LT","463",1134,NA,"Gray Floy 18510; PIT 1329","18510","1329",NA,"n1","Gear = Baited Lure",2,"Shallow_Round","n1","n1",463,NA,NA,NA
"Shallow","ANG",21,63.0698,-145.97354,2023-06-17,"LT","477",1021,NA,"Gray Floy 18545; PIT 133F","18545","133F",NA,"n1","Gear = Baited Lure",2,"Shallow_Round","n1","n1",477,NA,NA,NA
"Shallow","ANG",80,63.0766,-145.96356,2023-06-20,"LT","478",1588,NA,"Gray Floy 19865; PIT 888C","19865","888C",NA,"n1","Gear = Baited Lure",2,"Shallow_Round","n1","n1",478,NA,NA,NA
